Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,,Y-Koordinate,
BKA-17322,17322,Winter-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514687.057,514687057,5442228.428,5442228428
BKA-17321,17321,Winter-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514689.456,514689456,5442230.727,5442230727
BKA-17319,17319,Winter-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514693.283,514693283,5442230.602,5442230602
BKA-17318,17318,Winter-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514697.554,514697554,5442233.127,5442233127
BKA-17316,17316,Blaue Stech-Fichte,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514702.752,514702752,5442235.326,5442235326
BKA-17314,17314,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514707.551,514707551,5442232.927,5442232927
BKA-17313,17313,Vogel-Kirsche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514712.249,514712249,5442236.126,5442236126
BKA-17310,17310,Gemeine Fichte,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514719.147,514719147,5442238.925,5442238925
BKA-17309,17309,Gemeine Fichte,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514723.546,514723546,5442240.625,5442240625
BKA-17307,17307,Vogel-Kirsche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514728.289,514728289,5442244.346,5442244346
BKA-17306,17306,Vogel-Kirsche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514731.344,514731344,5442244.123,5442244123
BKA-17153,17153,Götterbaum,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514636.177,514636177,5442184.751,5442184751
BKA-17154,17154,Götterbaum,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514635.777,514635777,5442183.151,5442183151
BKA-17156,17156,Götterbaum,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514642.872,514642872,5442172.035,5442172035
BKA-17155,17155,Steinweichsel,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514637.777,514637777,5442173.156,5442173156
BKA-17157,17157,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.74,50,514637.377,514637377,5442174.855,5442174855
BKA-17158,17158,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.73,51,514636.577,514636577,5442176.554,5442176554
BKA-17320,17320,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514695.343,514695343,5442232.212,5442232212
BKA-17067,17067,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514596.39,514596390,5442241.528,5442241528
BKA-21230,21230,Schwarzer Holunder,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514600.988,514600988,5442249.624,5442249624
BKA-21227,21227,Gelbe Trauer-Weide,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514597.989,514597989,5442258.121,5442258121
BKA-21226,21226,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514603.433,514603433,5442263.97,5442263970
BKA-21216,21216,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514605.886,514605886,5442284.509,5442284509
BKA-20652,20652,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514602.955,514602955,5442284.109,5442284109
BKA-21214,21214,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514607.286,514607286,5442292.406,5442292406
BKA-21212,21212,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514608.685,514608685,5442302.002,5442302002
BKA-21211,21211,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514610.185,514610185,5442311.498,5442311498
BKA-21210,21210,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514611.884,514611884,5442320.594,5442320594
BKA-21188,21188,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.90,34,514625.316,514625316,5442355.401,5442355401
BKA-21209,21209,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514613.784,514613784,5442329.69,5442329690
BKA-21192,21192,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514616.483,514616483,5442339.486,5442339486
BKA-21191,21191,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514619.382,514619382,5442348.483,5442348483
BKA-21187,21187,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514622.182,514622182,5442357.079,5442357079
BKA-21182,21182,Walnuß,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514618.483,514618483,5442360.478,5442360478
BKA-21177,21177,Berg-Ulme,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514624.581,514624581,5442374.872,5442374872
BKA-21180,21180,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,01.01.79,45,514625.381,514625381,5442365.675,5442365675
BKA-21169,21169,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514632.279,514632279,5442385.867,5442385867
BKA-21201,21201,Steinweichsel,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514633.817,514633817,5442392.254,5442392254
BKA-21168,21168,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514635.678,514635678,5442395.863,5442395863
BKA-21167,21167,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514638.977,514638977,5442405.059,5442405059
